game_id,season,week,temp,wind,calendar_week,focus_team,focus_score,focus_temp_delta,avg_temp,attempts,carries,passing_epa,rushing_epa,conventional_plays_ran,pass_to_run_ratio
2024_03_MIA_SEA,2024,3,64.0,2.0,38,SEA,24,2.8862857142857195,61.11371428571428,34,23,-0.8126982188896363,0.5435255383781623,57,1.4782608695652173
2024_03_DET_ARI,2024,3,70.0,0.0,38,ARI,13,0.0,70.0,34,18,-5.631904723752118,-7.003579367040238,52,1.8888888888888888
2024_03_BAL_DAL,2024,3,70.0,0.0,38,DAL,25,0.0,70.0,51,16,6.197160795382595,-0.8819276200956665,67,3.1875
2024_03_SF_LA,2024,3,70.0,0.0,38,LAR,27,0.0,70.0,26,26,2.8970194602902923,3.679339290498019,52,1.0
2024_03_KC_ATL,2024,3,70.0,0.0,38,ATL,17,0.0,70.0,29,25,2.7967293687774433,-8.269807442149613,54,1.16
2024_03_JAX_BUF,2024,3,68.0,5.0,39,BUF,47,5.634174757281549,62.36582524271845,31,29,21.381203995683077,4.964041513099801,60,1.0689655172413792
2024_03_WAS_CIN,2024,3,69.0,5.0,39,CIN,33,4.764571428571429,64.23542857142857,38,20,16.027962973015356,6.4715818859112915,58,1.9
2024_04_DAL_NYG,2024,4,74.0,3.0,39,NYG,15,9.462857142857132,64.53714285714287,40,24,4.439631956087325,-7.315824701916426,64,1.6666666666666667
2024_04_NO_ATL,2024,4,70.0,0.0,39,ATL,26,0.0,70.0,35,15,-1.0691966593920248,2.073740382678807,50,2.3333333333333335
2024_04_CIN_CAR,2024,4,78.0,6.0,39,CAR,24,10.483428571428561,67.51657142857144,41,29,0.07048617661835466,0.18390045076375827,70,1.4137931034482758
2024_04_LA_CHI,2024,4,70.0,16.0,39,CHI,24,4.931428571428569,65.06857142857143,23,28,2.0835151902956746,-1.0305798316549044,51,0.8214285714285714
2024_04_MIN_GB,2024,4,71.0,15.0,39,GB,29,11.734285714285711,59.26571428571429,54,19,-5.017132399455281,-0.286818896594923,73,2.8421052631578947
2024_04_JAX_HOU,2024,4,70.0,0.0,39,HOU,24,0.0,70.0,40,26,14.305587934855184,-3.6329726284893695,66,1.5384615384615385
2024_04_PIT_IND,2024,4,70.0,0.0,39,IND,27,0.0,70.0,30,32,12.035855433657881,-7.047715415829105,62,0.9375
2024_04_DEN_NYJ,2024,4,67.0,8.0,39,NYJ,9,2.462857142857132,64.53714285714287,42,23,-12.087542063718368,-4.991027051878291,65,1.826086956521739
2024_04_PHI_TB,2024,4,88.0,9.0,39,TB,33,8.608571428571423,79.39142857142858,47,25,9.35312564888418,1.6805151656153612,72,1.88
2024_04_WAS_ARI,2024,4,70.0,0.0,39,ARI,14,0.0,70.0,22,32,-0.43325262336293235,1.0338713781675324,54,0.6875
2024_04_NE_SF,2024,4,71.0,5.0,39,SF,30,4.572527472527483,66.42747252747252,27,32,6.95503554671041,-0.49849547137273476,59,0.84375
2024_04_KC_LAC,2024,4,70.0,0.0,39,LAC,10,0.0,70.0,27,24,-2.0499847903784856,-9.293384593519363,51,1.125
2024_04_CLE_LV,2024,4,70.0,0.0,39,LV,20,0.0,70.0,24,29,-3.775178223637057,-4.670251815172378,53,0.8275862068965517
2024_04_BUF_BAL,2024,4,68.0,8.0,39,BAL,35,2.6367032967033026,65.3632967032967,19,34,7.776752790377941,8.081387339596404,53,0.5588235294117647
2024_04_TEN_MIA,2024,4,86.0,9.0,40,MIA,12,4.792747252747247,81.20725274725275,22,30,-11.76269284277302,-12.64754059583705,52,0.7333333333333333
2024_04_SEA_DET,2024,4,70.0,0.0,40,DET,42,0.0,70.0,19,28,19.62252349901246,2.347525879915338,47,0.6785714285714286
2024_05_TB_ATL,2024,5,70.0,0.0,40,ATL,36,0.0,70.0,59,18,21.490232694731496,-3.3651848236913793,77,3.2777777777777777
2024_05_NYJ_MIN,2024,5,59.0,8.0,40,MIN,23,-11.0,70.0,32,30,-9.424193167950591,-8.2703697104007,62,1.0666666666666667
2024_05_CAR_CHI,2024,5,74.0,7.0,40,CHI,36,10.749428571428567,63.25057142857143,29,39,14.142914184585296,0.21940904916846193,68,0.7435897435897436
2024_05_BAL_CIN,2024,5,81.0,10.0,40,CIN,38,18.595428571428577,62.40457142857142,39,23,23.61106959625613,-6.039970235441949,62,1.6956521739130435
2024_05_BUF_HOU,2024,5,70.0,0.0,40,HOU,23,0.0,70.0,38,28,6.2263078053876795,-10.110249008983374,66,1.3571428571428572
2024_05_IND_JAX,2024,5,74.0,4.0,40,JAX,37,-0.5116483516483612,74.51164835164836,34,23,16.75668474577833,2.403215676616542,57,1.4782608695652173
2024_05_MIA_NE,2024,5,65.0,2.0,40,NE,10,6.530816326530598,58.4691836734694,34,19,-8.80810501502878,4.3938566372786365,53,1.7894736842105263
2024_05_CLE_WAS,2024,5,73.0,5.0,40,WAS,34,9.07828571428572,63.92171428571428,28,34,-0.9223825228038671,6.4146547142008785,62,0.8235294117647058
2024_05_LV_DEN,2024,5,73.0,7.0,40,DEN,34,13.142857142857153,59.85714285714285,27,28,2.4855613098209925,-3.098659616021905,55,0.9642857142857143
2024_05_ARI_SF,2024,5,89.0,3.0,40,SF,23,19.13670329670329,69.86329670329671,35,26,-0.8968391142674834,-1.734660887683276,61,1.3461538461538463
2024_05_GB_LA,2024,5,70.0,0.0,40,LAR,19,0.0,70.0,45,28,-8.955648682371248,1.4758056274587288,73,1.6071428571428572
2024_05_NYG_SEA,2024,5,61.0,3.0,40,SEA,20,3.0028571428571382,57.99714285714286,40,11,-4.120158323491427,4.089411549910437,51,3.6363636363636362
2024_05_DAL_PIT,2024,5,67.0,6.0,40,PIT,17,7.337362637362638,59.66263736263736,28,26,-2.0389582784555387,4.565974211653602,54,1.0769230769230769
2024_05_NO_KC,2024,5,70.0,1.0,41,KC,26,10.341714285714275,59.658285714285725,39,39,2.9501115496304946,7.242739104861052,78,1.0
2024_06_SF_SEA,2024,6,59.0,10.0,41,SEA,24,2.7874285714285776,56.21257142857142,52,20,3.71631644625354,-3.4613853989867494,72,2.6
2024_06_JAX_CHI,2024,6,54.0,3.0,41,CHI,35,-6.157142857142851,60.15714285714285,29,29,14.273044016386848,2.706324268863414,58,1.0
2024_06_WAS_BAL,2024,6,75.0,8.0,41,BAL,30,13.689387755102032,61.31061224489797,26,37,11.001631377484559,-2.487146359052862,63,0.7027027027027027
2024_06_ARI_GB,2024,6,50.0,4.0,41,GB,34,-3.0891428571428534,53.08914285714285,32,38,14.854657110941345,0.5061315910425037,70,0.8421052631578947
